store_name,city,region,total_orders,total_revenue
RetailPulse Koramangala,Bengaluru,South,60,171573.03
RetailPulse Salt Lake,Kolkata,East,69,166960.61
RetailPulse Bandra Hub,Mumbai,West,60,152205.74
RetailPulse T. Nagar,Chennai,South,68,150091.83
RetailPulse Anna Nagar,Chennai,South,63,145759.99
RetailPulse MG Road,Bengaluru,South,63,144523.11
RetailPulse Connaught,New Delhi,North,58,142914.16
RetailPulse Park Street,Kolkata,East,60,137636.37
RetailPulse Lajpat Nagar,New Delhi,North,48,133249.58
RetailPulse Downtown,Mumbai,West,51,114872.06
