product_name,category,total_revenue,units_sold
Mechanical Keyboard RGB,Electronics,107694.84,242
Smartphone Android 128GB,Electronics,99442.58,202
Dark Chocolate 72% 100g,Grocery,86168.99,199
Men's Running Shoes Size 10,Footwear,85339.8,252
Face Wash Neem 150ml,Personal Care,84762.72,189
Gaming Laptop 15.6in RTX,Electronics,83468.0,175
Atta Whole Wheat Flour 10kg,Grocery,81662.7,210
Green Tea Honey Lemon 25bags,Grocery,77540.27,191
Baby Diaper Pack 50pcs,Baby Care,59547.9,190
Running Track Pants,Sports,58004.79,159
